皂		Soap	zào	香皂	xiāng zào	perfumed soap		hương tạo		tạo		36	38	deck:current tag:RSH is:suspended (hanzi:皂 or keyword:"day" or keyword:"seven" or keyword:"white" or keyword:"p.a drop of")	7	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
旧	舊	Old	jiù	旧时	jiù shí	in former days				cựu		37	39	deck:current tag:RSH is:suspended (hanzi:旧 or keyword:"p.walking stick" or keyword:"day")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 Traditional
中		Middle	{zhōng,zhòng}	中文	Zhōng wén	Chinese				trung		38	40	deck:current tag:RSH is:suspended (hanzi:中 or keyword:"p.walking stick" or keyword:"mouth")	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
千		Thousand	<span class="tone1">qiān</span><!--qian-->	千万	qiān wàn	countless				thiên		39	41	deck:current tag:RSH is:suspended (hanzi:千 or keyword:"ten" or keyword:"p.a drop of")	3	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
舌		Tongue	{shé,guā}	舌吻	shé wěn	French kiss		khẩu thiệt		thiệt		40	42	deck:current tag:RSH is:suspended (hanzi:舌 or keyword:"ten" or keyword:"thousand" or keyword:"mouth" or keyword:"p.a drop of")	6	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
升	昇	Liter	shēng	直升机	zhí shēng jī	helicopter				thăng		41	43	deck:current tag:RSH is:suspended (hanzi:升 or keyword:"ten" or keyword:"thousand" or keyword:"p.a drop of")	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad Traditional
丸		Pill	wán	丸子	wán zi	pills, balls, meatballs				hoàn		42	44	deck:current tag:RSH is:suspended (hanzi:丸 or keyword:"nine" or keyword:"p.a drop of")	3	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
卜		Divination	bǔ	占卜	zhān&nbsp;<u>bǔ</u>	to devine				bốc		43	45	deck:current tag:RSH is:suspended (hanzi:卜 or keyword:"p.walking stick" or keyword:"p.a drop of")	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
占		Tell Fortunes	{zhān,zhàn}	占领	zhān lǐng	to occupy				chiêm		44	46	deck:current tag:RSH is:suspended (hanzi:占 or keyword:"p.walking stick" or keyword:"mouth" or keyword:"divination" or keyword:"p.a drop of")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03
上		Above	<span class="tone4">shàng</span><!--shang-->							thượng		45	47	deck:current tag:RSH is:suspended (hanzi:上 or keyword:"p.walking stick" or keyword:"divination" or keyword:"p.a drop of" or keyword:"one")	3	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
下		Below	xià	以下	yǐ xià	that level or lower				hạ		46	48	deck:current tag:RSH is:suspended (hanzi:下 or keyword:"p.walking stick" or keyword:"divination" or keyword:"p.a drop of" or keyword:"one")	3	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
卡		Card	{qiǎ,kǎ}	贺卡	hè kǎ	greeting card				ca		47	49	deck:current tag:RSH is:suspended (hanzi:卡 or keyword:"one" or keyword:"p.a drop of" or keyword:"below" or keyword:"above" or keyword:"p.walking stick" or keyword:"divination")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
卓		Eminent	zhuó	卓越	zhuó yuè	outstanding		trác tuyệt		trác		48	50	deck:current tag:RSH is:suspended (hanzi:卓 or keyword:"ten" or keyword:"day" or keyword:"p.a drop of" or keyword:"early" or keyword:"p.walking stick" or keyword:"divination")	8	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-03 SameSimpTrad
p.𠦝		p.Mist										v1p37	51			Primitive PrimitiveImage RSH RSH1 RSH1-03
朝		Dynasty	{zhāo,cháo,zhū}	宋朝	Sòng cháo	Song dynasty				triều, trào		49	52	deck:current tag:RSH is:suspended (hanzi:朝 or keyword:"early" or keyword:"ten" or keyword:"day" or keyword:"p.mist" or keyword:"month")	12	FSI-StandardChinese-ORN1 GoodStory RSH RSH1 RSH1-03 SameSimpTrad
